Date,AFRM,PYPL,SQ
2021-01-04,,231.38510131835938,
2021-01-05,,234.3682098388672,
2021-01-06,,226.3068389892578,
2021-01-07,,234.49789428710938,
2021-01-08,,241.9008026123047,
2021-01-11,,236.9522247314453,
2021-01-12,,237.09190368652344,
2021-01-13,96.36499786376953,244.3351593017578,
2021-01-14,114.94000244140625,241.501708984375,
2021-01-15,117.0,239.2369384765625,
2021-01-19,110.98999786376953,246.67974853515625,
2021-01-20,106.20999908447266,243.69664001464844,
2021-01-21,108.97000122070312,248.0665283203125,
2021-01-22,119.94999694824219,251.41879272460938,
2021-01-25,112.69999694824219,247.1785888671875,
2021-01-26,110.08000183105469,240.44415283203125,
2021-01-27,105.29000091552734,229.40966796875,
2021-01-28,99.41999816894531,237.24154663085938,
2021-01-29,99.58999633789062,233.7695770263672,
2021-02-01,107.61000061035156,241.29220581054688,
2021-02-02,113.0,248.52548217773438,
2021-02-03,110.94999694824219,251.3190155029297,
2021-02-04,108.7699966430664,269.8062744140625,
2021-02-05,103.44999694824219,268.8185729980469,
2021-02-08,122.76000213623047,281.51922607421875,
2021-02-09,131.0,283.5445251464844,
2021-02-10,136.22999572753906,282.52685546875,
2021-02-11,139.99000549316406,284.37261962890625,
2021-02-12,125.88999938964844,297.68182373046875,
2021-02-16,119.1500015258789,304.0870361328125,
2021-02-17,112.52999877929688,296.5145568847656,
2021-02-18,105.55000305175781,290.1392822265625,
2021-02-19,105.98999786376953,286.2582702636719,
2021-02-22,104.83000183105469,273.2183837890625,
2021-02-23,102.01000213623047,264.3887939453125,
2021-02-24,102.48999786376953,265.4563293457031,
2021-02-25,94.19499969482422,253.35430908203125,
2021-02-26,93.05999755859375,259.2507019042969,
2021-03-01,91.44000244140625,272.9989013671875,
2021-03-02,91.80000305175781,268.56915283203125,
2021-03-03,86.30999755859375,254.4717254638672,
2021-03-04,84.45999908447266,238.51861572265625,
2021-03-05,81.13999938964844,238.4986572265625,
2021-03-08,74.30999755859375,225.56854248046875,
2021-03-09,79.66000366210938,241.202392578125,
2021-03-10,80.76000213623047,241.51170349121094,
2021-03-11,81.25,253.24456787109375,
2021-03-12,79.56999969482422,249.77259826660156,
2021-03-15,81.3499984741211,249.4034423828125,
2021-03-16,80.80000305175781,248.7349853515625,
2021-03-17,81.08999633789062,250.8900146484375,
2021-03-18,74.38999938964844,237.86013793945312,
2021-03-19,77.37000274658203,240.7235107421875,
2021-03-22,81.98999786376953,243.82135009765625,
2021-03-23,78.87000274658203,243.20777893066406,
2021-03-24,72.62999725341797,233.7296905517578,
2021-03-25,69.55999755859375,233.6997528076172,
2021-03-26,69.72000122070312,240.47409057617188,
2021-03-29,69.98999786376953,235.12644958496094,
2021-03-30,66.38999938964844,235.9944305419922,
2021-03-31,70.72000122070312,242.2799072265625,
2021-04-01,71.44999694824219,246.9690704345703,
2021-04-05,69.38999938964844,250.44105529785156,
2021-04-06,73.0,252.60604858398438,
2021-04-07,71.5,255.01048278808594,
2021-04-08,69.80999755859375,263.88995361328125,
2021-04-09,70.70999908447266,266.15472412109375,
2021-04-12,67.93000030517578,268.4095153808594,
2021-04-13,70.11000061035156,274.79473876953125,
2021-04-14,68.7300033569336,266.59368896484375,
2021-04-15,68.66999816894531,273.3680419921875,
2021-04-16,69.72000122070312,269.24755859375,
2021-04-19,66.0199966430664,267.2920837402344,
2021-04-20,65.0,263.8200988769531,
2021-04-21,67.55000305175781,264.2790832519531,
2021-04-22,68.62000274658203,261.66510009765625,
2021-04-23,74.12000274658203,265.4164123535156,
2021-04-26,77.97000122070312,271.0932922363281,
2021-04-27,76.37000274658203,268.20001220703125,
2021-04-28,77.20999908447266,270.4647521972656,
2021-04-29,74.0199966430664,267.23223876953125,
2021-04-30,70.5,261.68505859375,
2021-05-03,66.77999877929688,258.492431640625,
2021-05-04,62.16999816894531,249.58303833007812,
2021-05-05,57.599998474121094,246.8293914794922,
2021-05-06,54.439998626708984,251.43875122070312,
2021-05-07,54.0,252.77565002441406,
2021-05-10,57.0,243.06809997558594,
2021-05-11,55.45000076293945,248.02664184570312,
2021-05-12,49.81999969482422,239.35667419433594,
2021-05-13,48.369998931884766,240.24462890625,
2021-05-14,54.0,245.72195434570312,
2021-05-17,50.599998474121094,243.79640197753906,
2021-05-18,51.63999938964844,242.64906311035156,
2021-05-19,50.45000076293945,244.0657958984375,
2021-05-20,54.88999938964844,250.9598388671875,
2021-05-21,53.36000061035156,250.11181640625,
2021-05-24,53.150001525878906,256.5768737792969,
2021-05-25,54.040000915527344,258.0534362792969,
2021-05-26,57.0,260.7671813964844,
2021-05-27,57.290000915527344,258.8715515136719,
2021-05-28,60.810001373291016,259.4202880859375,
2021-06-01,62.52000045776367,258.6719970703125,
2021-06-02,65.23999786376953,261.5653381347656,
2021-06-03,63.2400016784668,257.1954345703125,
2021-06-04,59.650001525878906,262.4333190917969,
2021-06-07,59.459999084472656,259.99896240234375,
2021-06-08,62.4900016784668,262.5430603027344,
2021-06-09,60.2599983215332,262.9920349121094,
2021-06-10,63.68000030517578,268.8484802246094,
2021-06-11,67.9800033569336,270.8239440917969,
2021-06-14,68.94000244140625,274.2958984375,
2021-06-15,67.26000213623047,271.262939453125,
2021-06-16,67.41000366210938,268.20001220703125,
2021-06-17,69.38999938964844,277.46856689453125,
2021-06-18,68.18000030517578,282.7264099121094,
2021-06-21,63.79999923706055,282.4470520019531,
2021-06-22,63.45000076293945,286.0886535644531,
2021-06-23,65.16000366210938,287.4554748535156,
2021-06-24,66.33000183105469,292.5337219238281,
