Date,AFRM,KLAR,PYPL,SQ,^GSPC
2025-09-10,100.0,,100.0,,100.0
2025-09-11,95.92317783374644,,102.48323483877566,,100.84858903879599
2025-09-12,97.89089094191242,,101.90432519781918,,100.79990324136926
2025-09-15,105.37292024392846,,102.23948279784891,,101.27433000404108
2025-09-16,105.9974032911123,,101.84338427509833,,101.1438957219439
2025-09-17,106.51584611798495,,104.5399181683752,,101.04576913468452
2025-09-18,105.93849505410829,,104.38756003659483,,101.52968936622348
2025-09-19,108.61316993286907,,103.93053224108,,102.0257044266027
2025-09-22,106.18593122434115,,103.10785890924019,,102.47564252470059
2025-09-23,97.47849732485767,,102.5441757614965,,101.91180522571356
2025-09-24,96.06456479416143,,103.38208723650565,,101.62170126251175
2025-09-25,91.83457042428942,,101.6757996501052,,101.11267192709494
2025-09-26,89.58406541628024,,102.52894926828371,,101.70942240987895
2025-09-29,90.20854846346408,,106.15477689575957,,101.97748208986084
2025-09-30,86.10816480031025,,102.16330373195872,,102.39465650760846
2025-10-01,87.68704578832175,,101.55392945462009,,102.74279023365744
2025-10-02,91.23364887400585,,105.01218410705937,,102.80632172334417
2025-10-03,88.17014187509062,,105.49968818891291,,102.81305685361923
2025-10-06,89.38376122935459,,108.60755874810965,,103.1879741221494
2025-10-07,90.31459767328197,,113.6654456347205,,102.79468288001645
2025-10-08,88.66501421555633,,115.98110749845958,,103.39373571588007
2025-10-09,91.2689956141096,,115.40218620754655,,103.10882699745201
2025-10-10,83.8223130521973,,106.39852893668633,,100.31337417468491
2025-10-13,86.22599026382494,,104.90554040478706,,101.87812957433826
2025-10-14,85.91963686708142,,105.34735335704566,,101.71875890012707
2025-10-15,86.08459431390332,,103.56489835471159,,102.12827874140224
2025-10-16,81.38328910046592,,100.62462407046453,,101.48544382116458
2025-10-17,80.00471229938006,,102.69653389327684,,102.02034472803754
2025-10-20,84.92989218615003,,105.42352077297927,,103.1091334795178
2025-10-21,87.7695245117327,,106.71847169345983,,103.1125047822415
2025-10-22,84.75314949612466,,103.70200669336604,,102.5621377438046
2025-10-23,89.00671435240358,,106.12431225937742,,103.15980767278599
2025-10-24,88.82997166237823,,106.29188523441402,,103.97502006710013
2025-10-27,90.07893775674593,,107.02315300715087,,105.25287835248398
2025-10-28,89.45445470956207,,111.24314006870912,,105.49369102929984
2025-10-29,85.61329245984454,,106.15477689575957,,105.48909379831298
2025-10-30,81.18298491354027,,103.48871928882141,,104.44424410982582
2025-10-31,84.694232269614,,105.53015282529503,,104.71767096354523
2025-11-03,84.92989218615003,,104.11333170932939,,104.8978599927132
2025-11-04,84.14045169214428,,100.67032685001602,,103.66669163374227
2025-11-05,84.2700534093558,,103.68676855019669,,104.04544366568098
2025-11-06,77.71886055126711,,100.94454352732491,,102.88240402738364
2025-11-07,86.74443309069756,,100.88360260460409,,103.01222534534922
2025-11-10,89.65475889648772,,100.92930538415557,,104.59871854615672
2025-11-11,88.53540350883817,,102.6812957501075,,104.81579755080463
2025-11-12,93.02461929214647,,102.37659113650335,,104.88178089701769
2025-11-13,86.22599026382494,,99.52772241135926,,103.14526846259177
2025-11-14,83.08000454149875,,95.6886015543605,,103.09351784450715
2025-11-17,80.32284194982039,,94.2870185815642,,102.1489475929123
2025-11-18,77.40073090082677,,92.47409894284799,,101.30556127406238
2025-11-19,77.00011353746885,,91.78695538054991,,101.68584571633006
2025-11-20,73.68917036832076,,88.72535262379739,,100.10287332169298
2025-11-21,75.85718766341238,,92.48936621090871,,101.08618739150721
2025-11-24,78.81465444201638,,92.47409894284799,,102.64970938772508
2025-11-25,81.10050619012932,,93.48190755922576,,103.57988993257246
2025-11-26,81.06515945002558,,94.41336818534334,,104.29528635067918
2025-11-28,83.59843837886474,,95.7265687627618,,104.85376395110102
2025-12-01,81.37740097361751,,95.55860551418074,,104.29559283274497
2025-12-02,78.96782664563482,,96.04723964181976,,104.55187164112476
2025-12-03,82.05490413095697,,93.51244792032549,,104.86341439858727
2025-12-04,80.93554874330742,,94.26066637984474,,104.97670063534478
2025-12-05,80.11075251969129,,95.10050592266316,,105.1800028973768
2025-12-08,80.2521484696129,,93.32920575372714,,104.81426514047567
2025-12-09,80.61741010336044,,92.8100312649884,,104.72241022280649
2025-12-10,83.4923981585535,,93.39028647592659,,105.42924009341574
2025-12-11,81.33615711715872,,94.19958565764529,,105.64846447252418
2025-12-12,79.23883330227459,,94.15377802848485,,104.5218662993666
2025-12-15,77.36538416072302,,92.74895636776722,,104.35499055212969
2025-12-16,86.47342643405779,,93.6498766327851,,104.10621681677561
2025-12-17,84.88276020284282,,91.8938437319098,,102.89940256927655
2025-12-18,89.98468277963816,,90.76387367113314,,103.71583341668152
2025-12-19,89.8079400896128,,91.32886161401062,,104.63040580169056
2025-12-22,92.57687893498799,,91.40520960427078,,105.30385902781796
2025-12-23,89.12453981591828,,90.7180660419727,,105.78303252492334
2025-12-24,89.53693343297302,,91.68006702919001,,106.12381068139337
2025-12-26,89.32484400284392,,91.57317867783013,,106.09151046172794
2025-12-29,88.97136761229983,,90.84022748637159,,105.72103344556555
2025-12-30,89.37197598615113,,90.2446991823944,,105.57559649258934
2025-12-31,87.69883103152522,,89.14527530769574,,104.79880648408408
2026-01-02,87.2275201879598,,88.77879679947733,,104.99736948685484
2026-01-05,95.20443081994819,,90.53482970035263,,105.66453609304736
2026-01-06,97.03074797819254,,91.32886161401062,,106.3193088635062
2026-01-07,97.85554420180867,,89.34377891737653,,105.9535785817774
2026-01-08,96.15882876077583,,88.97730623413639,,105.96168914376236
