Date,AFRM,KLAR,PYPL,SQ,^GSPC
2025-09-10,84.87000274658203,,65.48860931396484,,6532.0400390625
2025-09-11,81.41000366210938,42.7400016784668,67.1148452758789,,6587.47021484375
2025-09-12,83.08000183105469,42.91999816894531,66.73572540283203,,6584.2900390625
2025-09-15,89.43000030517578,45.47999954223633,66.95521545410156,,6615.27978515625
2025-09-16,89.95999908447266,45.41999816894531,66.69581604003906,,6606.759765625
2025-09-17,90.4000015258789,45.36000061035156,68.46173858642578,,6600.35009765625
2025-09-18,89.91000366210938,44.9900016784668,68.3619613647461,,6631.9599609375
2025-09-19,92.18000030517578,43.0099983215332,68.06266021728516,,6664.35986328125
2025-09-22,90.12000274658203,43.83000183105469,67.5239028930664,,6693.75
2025-09-23,82.7300033569336,43.04999923706055,67.15475463867188,,6656.919921875
2025-09-24,81.52999877929688,42.86000061035156,67.7034912109375,,6637.97021484375
2025-09-25,77.94000244140625,41.5,66.58606719970703,,6604.72021484375
2025-09-26,76.02999877929688,39.939998626708984,67.14478302001953,,6643.7001953125
2025-09-29,76.55999755859375,38.439998626708984,69.519287109375,,6661.2099609375
2025-09-30,73.08000183105469,36.650001525878906,66.90532684326172,,6688.4599609375
2025-10-01,74.41999816894531,37.22999954223633,66.50625610351562,,6711.2001953125
2025-10-02,77.43000030517578,40.7400016784668,68.7710189819336,,6715.35009765625
2025-10-03,74.83000183105469,40.689998626708984,69.09027862548828,,6715.7900390625
2025-10-06,75.86000061035156,42.2599983215332,71.12557983398438,,6740.27978515625
2025-10-07,76.6500015258789,41.34000015258789,74.43791961669922,,6714.58984375
2025-10-08,75.25,42.11000061035156,75.95441436767578,,6753.72021484375
2025-10-09,77.45999908447266,41.29999923706055,75.57528686523438,,6735.10986328125
2025-10-10,71.13999938964844,38.790000915527344,69.67891693115234,,6552.509765625
2025-10-13,73.18000030517578,39.09000015258789,68.70117950439453,,6654.72021484375
2025-10-14,72.91999816894531,39.29999923706055,68.99051666259766,,6644.31005859375
2025-10-15,73.05999755859375,37.7599983215332,67.82321166992188,,6671.06005859375
2025-10-16,69.06999969482422,35.47999954223633,65.89766693115234,,6629.06982421875
2025-10-17,67.9000015258789,35.279998779296875,67.25453186035156,,6664.009765625
2025-10-20,72.08000183105469,37.06999969482422,69.04039764404297,,6735.1298828125
2025-10-21,74.48999786376953,37.06999969482422,69.88844299316406,,6735.35009765625
2025-10-22,71.93000030517578,35.68000030517578,67.91300201416016,,6699.39990234375
2025-10-23,75.54000091552734,37.0,69.49933624267578,,6738.43994140625
2025-10-24,75.38999938964844,38.40999984741211,69.60907745361328,,6791.68994140625
2025-10-27,76.44999694824219,39.72999954223633,70.08797454833984,,6875.16015625
2025-10-28,75.91999816894531,38.900001525878906,72.8515853881836,,6890.89013671875
2025-10-29,72.66000366210938,37.540000915527344,69.519287109375,,6890.58984375
2025-10-30,68.9000015258789,36.61000061035156,67.77332305908203,,6822.33984375
2025-10-31,71.87999725341797,37.56999969482422,69.1102294921875,,6840.2001953125
2025-11-03,72.08000183105469,37.36000061035156,68.182373046875,,6851.97021484375
2025-11-04,71.41000366210938,36.90999984741211,65.92759704589844,,6771.5498046875
2025-11-05,71.5199966430664,36.68000030517578,67.90302276611328,,6796.2900390625
2025-11-06,65.95999908447266,34.869998931884766,66.107177734375,,6720.31982421875
2025-11-07,73.62000274658203,36.16999816894531,66.06726837158203,,6728.7998046875
2025-11-10,76.08999633789062,36.70000076293945,66.09719848632812,,6832.43017578125
2025-11-11,75.13999938964844,36.91999816894531,67.24455261230469,,6846.60986328125
2025-11-12,78.94999694824219,37.650001525878906,67.04500579833984,,6850.919921875
2025-11-13,73.18000030517578,34.619998931884766,65.1793212890625,,6737.490234375
2025-11-14,70.51000213623047,34.27000045776367,62.66513442993164,,6734.10986328125
2025-11-17,68.16999816894531,34.880001068115234,61.747257232666016,,6672.41015625
2025-11-18,65.69000244140625,31.6299991607666,60.560001373291016,,6617.31982421875
2025-11-19,65.3499984741211,30.43000030517578,60.11000061035156,,6642.16015625
2025-11-20,62.540000915527344,28.110000610351562,58.10499954223633,,6538.759765625
2025-11-21,64.37999725341797,29.06999969482422,60.56999969482422,,6602.990234375
2025-11-24,66.88999938964844,29.290000915527344,60.560001373291016,,6705.1201171875
2025-11-25,68.83000183105469,30.280000686645508,61.220001220703125,,6765.8798828125
2025-11-26,68.80000305175781,30.969999313354492,61.83000183105469,,6812.60986328125
2025-11-28,70.94999694824219,31.469999313354492,62.689998626708984,,6849.08984375
2025-12-01,69.06500244140625,30.040000915527344,62.58000183105469,,6812.6298828125
2025-12-02,67.0199966430664,30.020000457763672,62.900001525878906,,6829.3701171875
2025-12-03,69.63999938964844,30.600000381469727,61.2400016784668,,6849.72021484375
2025-12-04,68.69000244140625,32.5,61.72999954223633,,6857.1201171875
2025-12-05,67.98999786376953,31.34000015258789,62.279998779296875,,6870.39990234375
2025-12-08,68.11000061035156,30.65999984741211,61.119998931884766,,6846.509765625
2025-12-09,68.41999816894531,30.690000534057617,60.779998779296875,,6840.509765625
2025-12-10,70.86000061035156,32.150001525878906,61.15999984741211,,6886.68017578125
2025-12-11,69.02999877929688,32.33000183105469,61.689998626708984,,6901.0
2025-12-12,67.25,31.100000381469727,61.65999984741211,,6827.41015625
2025-12-15,65.66000366210938,30.25,60.7400016784668,,6816.509765625
2025-12-16,73.38999938964844,30.799999237060547,61.33000183105469,,6800.259765625
2025-12-17,72.04000091552734,29.450000762939453,60.18000030517578,,6721.43017578125
